"cjis_code","COMAR","offense_literal","source","fel_mis","max_term","min_term","type","seriousness","fine"
"1-1356","114-2","Credit Card Crimes
Felony credit card crimes, at least
$25,000 but less than $100,000","CR, §8-
206(c)(1)(ii)
CR, §8-
207(b)(1)(ii)
CR, §8-
209(b)(1)(ii)","Felony","10Y","","Property","V","$15,000"
"1-1186","114-3","Credit Card Crimes
Felony credit card crimes, at least
$1,500 but less than $25,000","CR, §8-
206(c)(1)(i)
CR, §8-
207(b)(1)(i)
CR, §8-
209(b)(1)(i)","Felony","5Y","","Property","VI","$10,000"
"1-1191","114-3","Credit Card Crimes
Felony credit card crimes, at least
$1,500 but less than $25,000","CR, §8-
206(c)(1)(i)
CR, §8-
207(b)(1)(i)
CR, §8-
209(b)(1)(i)","Felony","5Y","","Property","VI","$10,000"
"1-1196","114-3","Credit Card Crimes
Felony credit card crimes, at least
$1,500 but less than $25,000","CR, §8-
206(c)(1)(i)
CR, §8-
207(b)(1)(i)
CR, §8-
209(b)(1)(i)","Felony","5Y","","Property","VI","$10,000"
"1-1350","114-3","Credit Card Crimes
Felony credit card crimes, at least
$1,500 but less than $25,000","CR, §8-
206(c)(1)(i)
CR, §8-
207(b)(1)(i)
CR, §8-
209(b)(1)(i)","Felony","5Y","","Property","VI","$10,000"
"1-1354","114-3","Credit Card Crimes
Felony credit card crimes, at least
$1,500 but less than $25,000","CR, §8-
206(c)(1)(i)
CR, §8-
207(b)(1)(i)
CR, §8-
209(b)(1)(i)","Felony","5Y","","Property","VI","$10,000"
"1-1357","114-3","Credit Card Crimes
Felony credit card crimes, at least
$1,500 but less than $25,000","CR, §8-
206(c)(1)(i)
CR, §8-
207(b)(1)(i)
CR, §8-
209(b)(1)(i)","Felony","5Y","","Property","VI","$10,000"
"1-1185","114-4","Credit Card Crimes
Misdemeanor credit card crimes, at
least $100 but less than $1,500","CR, §8-206(c)(2)
CR, §8-207(b)(2)
CR, §8-209(b)(2)","Misd.","1Y","","Property","VII","$500"
"1-1192","114-4","Credit Card Crimes
Misdemeanor credit card crimes, at
least $100 but less than $1,500","CR, §8-206(c)(2)
CR, §8-207(b)(2)
CR, §8-209(b)(2)","Misd.","1Y","","Property","VII","$500"
"1-1195","114-4","Credit Card Crimes
Misdemeanor credit card crimes, at
least $100 but less than $1,500","CR, §8-206(c)(2)
CR, §8-207(b)(2)
CR, §8-209(b)(2)","Misd.","1Y","","Property","VII","$500"
"1-1199","114-4","Credit Card Crimes
Misdemeanor credit card crimes, at
least $100 but less than $1,500","CR, §8-206(c)(2)
CR, §8-207(b)(2)
CR, §8-209(b)(2)","Misd.","1Y","","Property","VII","$500"
"1-1353","114-4","Credit Card Crimes
Misdemeanor credit card crimes, at
least $100 but less than $1,500","CR, §8-206(c)(2)
CR, §8-207(b)(2)
CR, §8-209(b)(2)","Misd.","1Y","","Property","VII","$500"
"1-1358","114-4","Credit Card Crimes
Misdemeanor credit card crimes, at
least $100 but less than $1,500","CR, §8-206(c)(2)
CR, §8-207(b)(2)
CR, §8-209(b)(2)","Misd.","1Y","","Property","VII","$500"
"1-0581","115","Credit Card Crimes
Misdemeanor credit card crimes,
less than $100","CR, §8-206(c)(3)
CR, §8-207(b)(3)
CR, §8-209(b)(3)","Misd.","90D","","Property","VII","$500"
"1-0582","115","Credit Card Crimes
Misdemeanor credit card crimes,
less than $100","CR, §8-206(c)(3)
CR, §8-207(b)(3)
CR, §8-209(b)(3)","Misd.","90D","","Property","VII","$500"
"1-0583","115","Credit Card Crimes
Misdemeanor credit card crimes,
less than $100","CR, §8-206(c)(3)
CR, §8-207(b)(3)
CR, §8-209(b)(3)","Misd.","90D","","Property","VII","$500"
"1-0584","115","Credit Card Crimes
Misdemeanor credit card crimes,
less than $100","CR, §8-206(c)(3)
CR, §8-207(b)(3)
CR, §8-209(b)(3)","Misd.","90D","","Property","VII","$500"
"1-0585","115","Credit Card Crimes
Misdemeanor credit card crimes,
less than $100","CR, §8-206(c)(3)
CR, §8-207(b)(3)
CR, §8-209(b)(3)","Misd.","90D","","Property","VII","$500"
"1-0586","115","Credit Card Crimes
Misdemeanor credit card crimes,
less than $100","CR, §8-206(c)(3)
CR, §8-207(b)(3)
CR, §8-209(b)(3)","Misd.","90D","","Property","VII","$500"
"1-0199","115-1","Credit Card Crimes
Possess incomplete credit card or
knowingly possess machinery,
plates, etc. to reproduce credit cards","CR, §8-208","Felony","15Y","","Property","V","$1,000"
"1-0200","115-1","Credit Card Crimes
Possess incomplete credit card or
knowingly possess machinery,
plates, etc. to reproduce credit cards","CR, §8-208","Felony","15Y","","Property","V","$1,000"
"2-0550","116","Credit Card Crimes
Unlawfully use or disclose credit
card number or other payment
device number or holder's signature","CR, §8-214
CR, §8-216
(penalty)","Felony","15Y","","Property","V","$1,000"
"2-0560","116","Credit Card Crimes
Unlawfully use or disclose credit
card number or other payment
device number or holder's signature","CR, §8-214
CR, §8-216
(penalty)","Felony","15Y","","Property","V","$1,000"
"1-2607","116-1","Credit Card Crimes
Make or cause to be made a false
written statement with respect to
identity to procure the issuance of a
credit card","CR, §8-203","Misd.","18M","","Property","VII","$500"
"1-2399","116-2","Credit Card Crimes
Steal credit card, receive stolen or
lost credit card, or sell or buy credit
card","CR, §8-204","Misd.","18M","","Property","VII","$500"
"1-2605","116-2","Credit Card Crimes
Steal credit card, receive stolen or
lost credit card, or sell or buy credit
card","CR, §8-204","Misd.","18M","","Property","VII","$500"
"1-2803","116-2","Credit Card Crimes
Steal credit card, receive stolen or
lost credit card, or sell or buy credit
card","CR, §8-204","Misd.","18M","","Property","VII","$500"
"1-2899","116-2","Credit Card Crimes
Steal credit card, receive stolen or
lost credit card, or sell or buy credit
card","CR, §8-204","Misd.","18M","","Property","VII","$500"
"2-2803","116-2","Credit Card Crimes
Steal credit card, receive stolen or
lost credit card, or sell or buy credit
card","CR, §8-204","Misd.","18M","","Property","VII","$500"
"1-0196","117","Credit Card Crimes
Falsely make or emboss credit card,
transfer or possess falsely made or
embossed credit card, or sign credit
card with intent to defraud","CR, §8-205","Felony","15Y","","Property","V","$1,000"
"1-0198","117","Credit Card Crimes
Falsely make or emboss credit card,
transfer or possess falsely made or
embossed credit card, or sign credit
card with intent to defraud","CR, §8-205","Felony","15Y","","Property","V","$1,000"
"2-2605","118","Credit Card Crimes
Publish or cause to be published the
number or code of a telephone credit
card with intent to defraud","CR, §8-210","Misd.","1Y","","Property","VII","$500"
"2-0710","119","Crimes Against the Person,
Generally
Administered controlled dangerous
substance before committing crime
of violence","CR, §5-624(b)","Misd.","1Y","","Person","VII","$2,500"
"1-1391","119-1","Criminal Gang Offenses
Use of or threat of force to coerce
participation or prevent leaving gang","CR, §9-802","Misd.","2Y","","Person","VII","$10,000"
"1-1392","119-2","Criminal Gang Offenses
Use of or threat of force to coerce
participation or prevent leaving gang
in school or within 1,000 feet of
school property","CR, §9-803","Misd.","4Y","","Person","VI","$20,000"
"1-1394","119-3","Criminal Gang Offenses
Participate as member of criminal
gang in commission of crime; in
receipt and use or investment, of
proceeds of $10,000 or more from
underlying crime in the acquisition

of real property or establishment or
operation of any enterprise; in
acquisition or maintenance of any
interest or control of any enterprise
or property through an underlying
crime","CR, §9-
804(f)(1)(i)","Felony","15Y","","Person","One category
more serious than most
serious
underlying offense. If no
conviction on
underlying
offense,
category=IV","$1,000,000"
"1-1395","119-3","Criminal Gang Offenses
Participate as member of criminal
gang in commission of crime; in
receipt and use or investment, of
proceeds of $10,000 or more from
underlying crime in the acquisition

of real property or establishment or
operation of any enterprise; in
acquisition or maintenance of any
interest or control of any enterprise
or property through an underlying
crime","CR, §9-
804(f)(1)(i)","Felony","15Y","","Person","One category
more serious than most
serious
underlying offense. If no
conviction on
underlying
offense,
category=IV","$1,000,000"
"1-1419","119-3","Criminal Gang Offenses
Participate as member of criminal
gang in commission of crime; in
receipt and use or investment, of
proceeds of $10,000 or more from
underlying crime in the acquisition

of real property or establishment or
operation of any enterprise; in
acquisition or maintenance of any
interest or control of any enterprise
or property through an underlying
crime","CR, §9-
804(f)(1)(i)","Felony","15Y","","Person","One category
more serious than most
serious
underlying offense. If no
conviction on
underlying
offense,
category=IV","$1,000,000"
"1-1421","119-3","Criminal Gang Offenses
Participate as member of criminal
gang in commission of crime; in
receipt and use or investment, of
proceeds of $10,000 or more from
underlying crime in the acquisition

of real property or establishment or
operation of any enterprise; in
acquisition or maintenance of any
interest or control of any enterprise
or property through an underlying
crime","CR, §9-
804(f)(1)(i)","Felony","15Y","","Person","One category
more serious than most
serious
underlying offense. If no
conviction on
underlying
offense,
category=IV","$1,000,000"
"1-1422","119-3","Criminal Gang Offenses
Participate as member of criminal
gang in commission of crime; in
receipt and use or investment, of
proceeds of $10,000 or more from
underlying crime in the acquisition

of real property or establishment or
operation of any enterprise; in
acquisition or maintenance of any
interest or control of any enterprise
or property through an underlying
crime","CR, §9-
804(f)(1)(i)","Felony","15Y","","Person","One category
more serious than most
serious
underlying offense. If no
conviction on
underlying
offense,
category=IV","$1,000,000"
"1-1423","119-3","Criminal Gang Offenses
Participate as member of criminal
gang in commission of crime; in
receipt and use or investment, of
proceeds of $10,000 or more from
underlying crime in the acquisition

of real property or establishment or
operation of any enterprise; in
acquisition or maintenance of any
interest or control of any enterprise
or property through an underlying
crime","CR, §9-
804(f)(1)(i)","Felony","15Y","","Person","One category
more serious than most
serious
underlying offense. If no
conviction on
underlying
offense,
category=IV","$1,000,000"
"1-1417","119-4","Criminal Gang Offenses
Participate as member of criminal
gang in commission of crime--
resulting in death of victim","CR, §9-
804(f)(1)(ii)","Felony","25Y","","Person","One category
more serious than most
serious
underlying offense. If no
conviction on
underlying
offense,
category=III","$5,000,000"
"1-1418","119-4","Criminal Gang Offenses
Participate as member of criminal
gang in commission of crime--
resulting in death of victim","CR, §9-
804(f)(1)(ii)","Felony","25Y","","Person","One category
more serious than most
serious
underlying offense. If no
conviction on
underlying
offense,
category=III","$5,000,000"
"1-1393","119-5","Criminal Gang Offenses
Organize, supervise, finance, or
manage a criminal gang","CR, §9-805","Felony","20Y","","Person","III","$1,000,000"
"2-0260","12","Animals, Crimes Against
Cruelty to Animals--injuring a
racehorse","CR, §10-620","Felony","3Y","","Property","VI",""
"5-7199","12","Animals, Crimes Against
Cruelty to Animals--injuring a
racehorse","CR, §10-620","Felony","3Y","","Property","VI",""
"","12-1","Animals, Crimes Against
Hunting via an internet connection","NR, §10-426(c)","Misd.","1Y","","Property","VII","$10,000"
"","12-2","Animals, Crimes Against
Unlawful capture of over $20,000
worth of striped bass","NR, § (d)(2)","Misd.","2Y","","Property","VII","varies"
"2-0393","120","Destructive Devices
Explosives--possession without
license with intention to use in
violation of various statutes","PS, §11-114(b)
PS, §11-116(a)
(penalty)","Felony","20Y","","Person","III","$10,000"
"1-0022","121","Destructive Devices
Explosives--sale without license
with intention to use in violation of
various statutes","PS, §11-114(c)
PS, §11-116(b)
(penalty)","Felony","20Y","","Person","III","$10,000"
"2-5203","122","Destructive Devices
Firearm, explosive on aircraft","TR, §","Felony","10Y","","Person","III",""
"1-0720","123","Destructive Devices
Manufacture, transport, possess,
control, store, sell, distribute, or use
a destructive device","CR, §4-503(a)(1)","Felony","25Y","","Person","III","$250,000"
"1-0725","124","Destructive Devices
Possess explosive, incendiary, or
toxic material with the intent to
create a destructive device","CR, §4-503(a)(2)","Felony","25Y","","Person","III","$250,000"
"1-0907","125","Destructive Devices
Explosives--unlawful manufacture
or dealing without license","PS, §11-114(a)","Misd.","5Y","","Person","VI","$5,000"
"","125-1","Destructive Devices
Explosives--possession without
license","PS, §11-114(b)","Misd.","5Y","","Person","VI","$5,000"
"","125-2","Destructive Devices
Explosives--sale without license","PS, §11-114(c)","Misd.","5Y","","Person","VI","$5,000"
"","125-3","Destructive Devices
Explosives--owner of operation that
uses explosives dealing without
license","PS, §11-114(d)","Misd.","5Y","","Person","VI","$5,000"
"","126","Destructive Devices
Explosives--employee possession
without license","PS, §11-114(e)","Misd.","5Y","","Person","VI","$5,000"
"","127","Destructive Devices
Explosives--violate explosives
regulation","PS, §11-114(f)","Misd.","5Y","","Person","VI","$5,000"
"2-0045","127-1","Disturbing the Peace, Disorderly
Conduct, and Related Crimes
Disturbing the peace, disorderly
conduct in public place","CR, §10-201","Misd.","60D","","Person","VII","$500"
"2-0050","127-1","Disturbing the Peace, Disorderly
Conduct, and Related Crimes
Disturbing the peace, disorderly
conduct in public place","CR, §10-201","Misd.","60D","","Person","VII","$500"
"2-0055","127-1","Disturbing the Peace, Disorderly
Conduct, and Related Crimes
Disturbing the peace, disorderly
conduct in public place","CR, §10-201","Misd.","60D","","Person","VII","$500"
"2-0060","127-1","Disturbing the Peace, Disorderly
Conduct, and Related Crimes
Disturbing the peace, disorderly
conduct in public place","CR, §10-201","Misd.","60D","","Person","VII","$500"
"2-0065","127-1","Disturbing the Peace, Disorderly
Conduct, and Related Crimes
Disturbing the peace, disorderly
conduct in public place","CR, §10-201","Misd.","60D","","Person","VII","$500"
"3-5399","127-2","Disturbing the Peace, Disorderly
Conduct, and Related Crimes
Affray","Common Law","Misd.","LIFE","","Person","VI",""
"","128","Disturbing the Peace, Disorderly
Conduct, and Related Crimes
Rioting","","Misd.","LIFE","","Person","IV",""
"","129","Disturbing the Peace, Disorderly
Conduct, and Related Crimes
Flag--official defacing/desecrate in
a manner intended to incite or
produce an imminent breach of
peace or under circumstances likely
to incite or produce an imminent
breach of peace","","Misd.","1Y","","Property","VII","$1,000"
"","129-1","Disturbing the Peace, Disorderly
Conduct, and Related Crimes
Willfully violate order given by
Governor in time of emergency","PS, §14-114","Misd.","1Y","","Person","VII","$5,000"
"","129-2","Disturbing the Peace, Disorderly
Conduct, and Related Crimes
Willfully and knowingly fail to
comply with order in time of
investigation of communicable
disease","HG, §18-907(a)","Misd.","1Y","","Person","VII","$3,000"
"1-6500","13","Arson and Burning
Arson--dwelling or occupied
structure (arson 1st degree)","CR, §6-102(a)","Felony","30Y *","","Property","III","$50,000"
"1-1529","130","Election Offenses
False reports by election judge or
election official","EL, §16-601","Felony","10Y","1Y","Property","V",""
"2-0381","130","Election Offenses
False reports by election judge or
election official","EL, §16-601","Felony","10Y","1Y","Property","V",""
"2-0382","131","Election Offenses
Defacing or removing election
records related to voting","EL, §16-701","Felony","10Y","1Y","Property","V",""
"1-0785","132","Election Offenses
Tampering with electronic voting
system","EL, §16-804","Felony","10Y","","Property","V","$50,000"
"2-0374","133","Election Offenses
Voting by person convicted of a
felony and currently serving a court-
ordered sentence of imprisonment","EL, §16-202","Felony","5Y","1Y","Property","VI",""
"2-0377","134","Election Offenses
Tampering with election records","EL, §16-302","Felony","5Y","1Y","Property","VI",""
"2-0378","135","Election Offenses
Adding or deleting votes","EL, §16-304","Felony","5Y","1Y","Property","VI",""
"1-1501","135-1","Election Offenses
Voting offenses","EL, §16-201","Misd.","5Y","","Property","VII","$5,000"
"2-0372","135-2","Election Offenses
Voter registration offenses","EL, §16-101","Misd.","5Y","","Property","VII","$1,000"
"2-0376","135-3","Election Offenses
Neglect of official duties by election
official or official of political party","EL, §16-301","Misd.","3Y","30D","Property","VII","$50-$1,000"
"1-1532","136","Election Offenses
Destruction of voting equipment","EL, §16-801","Felony","3Y","","Property","VI","$10,000"
"1-0783","136-1","Election Offenses
Tampering with voting equipment","EL, §16-802","Felony","3Y","","Property","VI","$10,000"
"1-0784","136-2","Election Offenses
Removal or destruction of
equipment or supplies","EL, §16-803","Felony","3Y","","Property","VI","$10,000"
"2-0385","136-3","Election Offenses
Falsely or fraudulently making,
defacing, or destroying a certificate
of candidacy or nomination","EL, §16-901","Misd.","3Y","","Property","VI","$100-
$1,000"
"","136-4","Election Offenses
Unlawful actions by an election
judge","EL, §16-303","Misd.","2Y","3M","Property","VII",""
"","136-5","Election Offenses
Violate any provision of Election
Law Article, Title 9 (Voting),
Subtitle 3 (Absentee Voting)","EL, §9-312","Misd.","2Y","","Property","VII","$1,000"
"","136-6","Election Offenses
Give, receive, etc., any valuable
thing to influence vote, etc.","EL, §13-602","Misd.","1Y","","Property","VII","$1,000"
"1-1551","136-7","Election Offenses
Failure to include name of finance
entity and treasurer on campaign
material","EL, §13-401
EL, §13-602
(penalty)","Misd.","1Y","","Property","VII","$1,000"
"2-2700","137","Estates, Crimes Against
Embezzling--destroy, conceal will
or codicil","CR, §8-702(a)","Misd.","15Y","18M","Property","V",""
"1-1207","138","Extortion and Other Threats
Felony Extortion--by anyone,
$100,000 or greater","CR, §3-701(c)(3)","Felony","25Y","","Property","II","$25,000"
"1-1213","138","Extortion and Other Threats
Felony Extortion--by anyone,
$100,000 or greater","CR, §3-701(c)(3)","Felony","25Y","","Property","II","$25,000"
"1-1206","138-1","Extortion and Other Threats
Felony Extortion--by anyone, at
least $10,000 but less than $100,000","CR, §3-701(c)(2)","Felony","15Y","","Property","IV","$15,000"
"1-1211","138-1","Extortion and Other Threats
Felony Extortion--by anyone, at
least $10,000 but less than $100,000","CR, §3-701(c)(2)","Felony","15Y","","Property","IV","$15,000"
"1-1204","138-2","Extortion and Other Threats
Felony Extortion--by anyone, at
least $1,000 but less than $10,000","CR, §3-701(c)(1)","Felony","10Y","","Property","V","$10,000"
"1-1210","138-2","Extortion and Other Threats
Felony Extortion--by anyone, at
least $1,000 but less than $10,000","CR, §3-701(c)(1)","Felony","10Y","","Property","V","$10,000"
"1-1209","138-3","Extortion and Other Threats
Misdemeanor Extortion--by
anyone, less than $1,000","CR, §3-701(d)","Misd.","18M","","Property","VII","$1,000"
"1-1286","138-3","Extortion and Other Threats
Misdemeanor Extortion--by
anyone, less than $1,000","CR, §3-701(d)","Misd.","18M","","Property","VII","$1,000"
"1-1217","139","Extortion and Other Threats
Felony Extortion--by State or local
officer, $100,000 or greater","CR, §3-702(e)","Felony","25Y","","Property","II","$25,000"
"1-1216","139-1","Extortion and Other Threats
Felony Extortion--by State or local
officer, at least $10,000 but less than
$100,000","CR, §3-702(d)","Felony","15Y","","Property","IV","$15,000"
"1-1215","139-2","Extortion and Other Threats
Felony Extortion--by State or local
officer, at least $1,000 but less than
$10,000","CR, §3-702(c)","Felony","10Y","","Property","V","$10,000"
"1-1214","139-3","Extortion and Other Threats
Misdemeanor Extortion--by State
or local officer, less than $1,000","CR, §3-702(f)","Misd.","18M","","Property","VII","$500"
"1-6501","14","Arson and Burning
Arson--Other structure (arson, 2nd
degree)","CR, §6-103(a)","Felony","20Y","","Property","IV","$30,000"
"1-1705","140","Extortion and Other Threats
Extortion--sending, etc. a
threatening letter, etc.","CR, §3-706(b)","Felony","10Y","","Property","V","$10,000"
"1-1706","140","Extortion and Other Threats
Extortion--sending, etc. a
threatening letter, etc.","CR, §3-706(b)","Felony","10Y","","Property","V","$10,000"
"1-1707","140","Extortion and Other Threats
Extortion--sending, etc. a
threatening letter, etc.","CR, §3-706(b)","Felony","10Y","","Property","V","$10,000"
"1-1702","141","Extortion and Other Threats
Extortion--threatening verbally","CR, §3-705(a)","Felony","10Y","","Property","V","$10,000"
"1-1703","141","Extortion and Other Threats
Extortion--threatening verbally","CR, §3-705(a)","Felony","10Y","","Property","V","$10,000"
"1-1704","141","Extortion and Other Threats
Extortion--threatening verbally","CR, §3-705(a)","Felony","10Y","","Property","V","$10,000"
"1-0477","142","Extortion and Other Threats
Threaten to take the life, kidnap, or
cause physical injury to State or
local official, deputy or assistant
State's Attorney, or assistant Public
Defender","CR, §3-708","Misd.","3Y","","Person","VI","$2,500"
"1-0478","142","Extortion and Other Threats
Threaten to take the life, kidnap, or
cause physical injury to State or
local official, deputy or assistant
State's Attorney, or assistant Public
Defender","CR, §3-708","Misd.","3Y","","Person","VI","$2,500"
"1-1700","143","Extortion and Other Threats
Extortion--by false accusation","CR, §3-704(a)","Misd.","10Y","","Property","V","$10,000"
"1-1701","143","Extortion and Other Threats
Extortion--by false accusation","CR, §3-704(a)","Misd.","10Y","","Property","V","$10,000"
